date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:35:39	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264bb3710-239b%22	https://evgenywas.github.io/robots.txt		(from )
10:35:39	2254/2254	---M-Z	200	added ('OK')	text/html	etag:W/%22627e9faa-8ce%22	https://evgenywas.github.io/The-space-travel-website/	C:/Users/Satvik/Downloads/sem%207/PA/da/evgenywas.github.io/The-space-travel-website/index.html	(from )
10:35:40	1063/1063	---M--	200	added ('OK')	image/png	etag:%22627e9faa-427%22	https://evgenywas.github.io/The-space-travel-website/favicon-32x32.b532600b.png	C:/Users/Satvik/Downloads/sem%207/PA/da/evgenywas.github.io/The-space-travel-website/favicon-32x32.b532600b.png	(from https://evgenywas.github.io/The-space-travel-website/)
10:35:40	9307/9307	---M-Z	200	added ('OK')	text/css	etag:W/%22627e9faa-245b%22	https://evgenywas.github.io/The-space-travel-website/scss.693cc462.css	C:/Users/Satvik/Downloads/sem%207/PA/da/evgenywas.github.io/The-space-travel-website/scss.693cc462.css	(from https://evgenywas.github.io/The-space-travel-website/)
10:35:40	1427/1427	---M-Z	200	added ('OK')	application/javascript	etag:W/%22627e9faa-593%22	https://evgenywas.github.io/The-space-travel-website/nav.af69abdb.js	C:/Users/Satvik/Downloads/sem%207/PA/da/evgenywas.github.io/The-space-travel-website/nav.af69abdb.js	(from https://evgenywas.github.io/The-space-travel-website/)
10:35:40	263/263	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%22627e9faa-107%22	https://evgenywas.github.io/The-space-travel-website/logo.a61ec49e.svg	C:/Users/Satvik/Downloads/sem%207/PA/da/evgenywas.github.io/The-space-travel-website/logo.a61ec49e.svg	(from https://evgenywas.github.io/The-space-travel-website/)
10:35:41	2254/2254	---M-Z	200	added ('OK')	text/html	etag:W/%22627e9faa-8ce%22	https://evgenywas.github.io/The-space-travel-website/index.html	C:/Users/Satvik/Downloads/sem%207/PA/da/evgenywas.github.io/The-space-travel-website/index-2.html	(from https://evgenywas.github.io/The-space-travel-website/)
10:35:41	5939/5939	---M-Z	200	added ('OK')	text/html	etag:W/%22627e9faa-1733%22	https://evgenywas.github.io/The-space-travel-website/destination.html	C:/Users/Satvik/Downloads/sem%207/PA/da/evgenywas.github.io/The-space-travel-website/destination.html	(from https://evgenywas.github.io/The-space-travel-website/)
10:35:41	5268/5268	---M-Z	200	added ('OK')	text/html	etag:W/%22627e9faa-1494%22	https://evgenywas.github.io/The-space-travel-website/crew.html	C:/Users/Satvik/Downloads/sem%207/PA/da/evgenywas.github.io/The-space-travel-website/crew.html	(from https://evgenywas.github.io/The-space-travel-website/)
10:35:41	5459/5459	---M-Z	200	added ('OK')	text/html	etag:W/%22627e9faa-1553%22	https://evgenywas.github.io/The-space-travel-website/technology.html	C:/Users/Satvik/Downloads/sem%207/PA/da/evgenywas.github.io/The-space-travel-website/technology.html	(from https://evgenywas.github.io/The-space-travel-website/)
10:35:42	160/160	---M--	200	added ('OK')	image/svg+xml	etag:%22627e9faa-a0%22	https://evgenywas.github.io/The-space-travel-website/icon-hamburger.77a5b926.svg	C:/Users/Satvik/Downloads/sem%207/PA/da/evgenywas.github.io/The-space-travel-website/icon-hamburger.77a5b926.svg	(from https://evgenywas.github.io/The-space-travel-website/scss.693cc462.css)
10:35:42	227/227	---M--	200	added ('OK')	image/svg+xml	etag:%22627e9faa-e3%22	https://evgenywas.github.io/The-space-travel-website/icon-close.700fce62.svg	C:/Users/Satvik/Downloads/sem%207/PA/da/evgenywas.github.io/The-space-travel-website/icon-close.700fce62.svg	(from https://evgenywas.github.io/The-space-travel-website/scss.693cc462.css)
10:35:42	18601/18601	---M--	200	added ('OK')	image/jpeg	etag:%22627e9faa-48a9%22	https://evgenywas.github.io/The-space-travel-website/background-home-mobile.e81f12ab.jpg	C:/Users/Satvik/Downloads/sem%207/PA/da/evgenywas.github.io/The-space-travel-website/background-home-mobile.e81f12ab.jpg	(from https://evgenywas.github.io/The-space-travel-website/scss.693cc462.css)
10:35:43	52682/52682	---M--	200	added ('OK')	image/jpeg	etag:%22627e9faa-cdca%22	https://evgenywas.github.io/The-space-travel-website/background-home-tablet.02895f76.jpg	C:/Users/Satvik/Downloads/sem%207/PA/da/evgenywas.github.io/The-space-travel-website/background-home-tablet.02895f76.jpg	(from https://evgenywas.github.io/The-space-travel-website/scss.693cc462.css)
10:35:43	73549/73549	---M--	200	added ('OK')	image/jpeg	etag:%22627e9faa-11f4d%22	https://evgenywas.github.io/The-space-travel-website/background-home-desktop.f144db7a.jpg	C:/Users/Satvik/Downloads/sem%207/PA/da/evgenywas.github.io/The-space-travel-website/background-home-desktop.f144db7a.jpg	(from https://evgenywas.github.io/The-space-travel-website/scss.693cc462.css)
10:35:43	13467/13467	---M--	200	added ('OK')	image/jpeg	etag:%22627e9faa-349b%22	https://evgenywas.github.io/The-space-travel-website/background-destination-mobile.8b782dd3.jpg	C:/Users/Satvik/Downloads/sem%207/PA/da/evgenywas.github.io/The-space-travel-website/background-destination-mobile.8b782dd3.jpg	(from https://evgenywas.github.io/The-space-travel-website/scss.693cc462.css)
